Ticker,Day,Price
AAPL,2025-03-09,322.19
AAPL,2025-03-10,325.47
AAPL,2025-03-11,320.03
AAPL,2025-03-12,321.87
AAPL,2025-03-13,322.68
AAPL,2025-03-14,325.07
AAPL,2025-03-15,326.48
AAPL,2025-03-16,338.73
AAPL,2025-03-17,335.51
AAPL,2025-03-18,332.85
AAPL,2025-03-19,329.75
AAPL,2025-03-20,327.01
AAPL,2025-03-21,323.9
AAPL,2025-03-22,329.73
AAPL,2025-03-23,336.83
AAPL,2025-03-24,333.96
AAPL,2025-03-25,329.82
AAPL,2025-03-26,332.16
AAPL,2025-03-27,329.42
AAPL,2025-03-28,332.56
AAPL,2025-03-29,333.57
AAPL,2025-03-30,326.07
AAPL,2025-03-31,333.73
AAPL,2025-04-01,342.84
AAPL,2025-04-02,339.71
AAPL,2025-04-03,337.74
AAPL,2025-04-04,339.19
AAPL,2025-04-05,340.9
AAPL,2025-04-06,344.28
AAPL,2025-04-07,354.82
AAPL,2025-04-08,353.88
AAPL,2025-04-09,349.67
AAPL,2025-04-10,342.51
AAPL,2025-04-11,338.77
AAPL,2025-04-12,338.6
AAPL,2025-04-13,347.84
AAPL,2025-04-14,345.15
AAPL,2025-04-15,346.31
AAPL,2025-04-16,346.23
AAPL,2025-04-17,352.45
AAPL,2025-04-18,366.07
AAPL,2025-04-19,363.17
AAPL,2025-04-20,360.51
AAPL,2025-04-21,366.2
AAPL,2025-04-22,369.96
AAPL,2025-04-23,380.36
AAPL,2025-04-24,383.7
AAPL,2025-04-25,381.64
AAPL,2025-04-26,385.04
AAPL,2025-04-27,391.49
AAPL,2025-04-28,396.34
AAPL,2025-04-29,399.37
AAPL,2025-04-30,405.81
AAPL,2025-05-01,412.99
AAPL,2025-05-02,421.64
AAPL,2025-05-03,425.76
AAPL,2025-05-04,424.7
AAPL,2025-05-05,425.63
AAPL,2025-05-06,433.41
AAPL,2025-05-07,428.13
AAPL,2025-05-08,430.5
AAPL,2025-05-09,427.97
AAPL,2025-05-10,428.16
AAPL,2025-05-11,436.45
AAPL,2025-05-12,437.7
AAPL,2025-05-13,438.0
AAPL,2025-05-14,429.16
AAPL,2025-05-15,433.99
AAPL,2025-05-16,438.21
AAPL,2025-05-17,452.67
AAPL,2025-05-18,450.58
AAPL,2025-05-19,452.06
AAPL,2025-05-20,453.76
AAPL,2025-05-21,464.62
AAPL,2025-05-22,463.96
AAPL,2025-05-23,465.91
AAPL,2025-05-24,470.17
AAPL,2025-05-25,471.49
AAPL,2025-05-26,468.34
AAPL,2025-05-27,469.71
AAPL,2025-05-28,477.34
AAPL,2025-05-29,470.04
AAPL,2025-05-30,470.98
AAPL,2025-05-31,466.06
AAPL,2025-06-01,474.49
AAPL,2025-06-02,463.77
AAPL,2025-06-03,459.9
AAPL,2025-06-04,462.51
AAPL,2025-06-05,473.5
AAPL,2025-06-06,473.03
AAPL,2025-06-07,469.11
