Ticker,Month,Price
AAPL,2021-03,334.19
AAPL,2021-04,375.38
AAPL,2021-05,365.58
AAPL,2021-06,383.51
AAPL,2021-07,381.48
AAPL,2021-08,405.74
AAPL,2021-09,405.59
AAPL,2021-10,397.8
AAPL,2021-11,424.64
AAPL,2021-12,414.33
AAPL,2022-01,386.08
AAPL,2022-02,376.23
AAPL,2022-03,388.05
AAPL,2022-04,416.02
AAPL,2022-05,418.34
AAPL,2022-06,446.84
AAPL,2022-07,417.51
AAPL,2022-08,408.36
AAPL,2022-09,402.51
AAPL,2022-10,400.21
AAPL,2022-11,401.89
AAPL,2022-12,416.02
AAPL,2023-01,406.87
AAPL,2023-02,409.71
AAPL,2023-03,408.78
AAPL,2023-04,390.29
AAPL,2023-05,388.08
AAPL,2023-06,385.3
AAPL,2023-07,382.13
AAPL,2023-08,382.74
AAPL,2023-09,384.19
AAPL,2023-10,375.98
AAPL,2023-11,400.68
AAPL,2023-12,377.92
AAPL,2024-01,364.54
AAPL,2024-02,418.9
AAPL,2024-03,397.72
AAPL,2024-04,371.69
AAPL,2024-05,385.59
AAPL,2024-06,347.55
AAPL,2024-07,343.49
AAPL,2024-08,382.39
AAPL,2024-09,353.97
AAPL,2024-10,320.57
AAPL,2024-11,297.42
AAPL,2024-12,311.08
AAPL,2025-01,329.08
AAPL,2025-02,320.75
AAPL,2025-03,331.9
AAPL,2025-04,355.79
AAPL,2025-05,389.05
AAPL,2025-06,384.29
AAPL,2025-07,342.52
AAPL,2025-08,328.74
AAPL,2025-09,321.8
AAPL,2025-10,317.66
AAPL,2025-11,314.69
AAPL,2025-12,332.8
AAPL,2026-01,354.7
AAPL,2026-02,351.67
MSFT,2021-03,91.48
MSFT,2021-04,93.13
MSFT,2021-05,93.43
MSFT,2021-06,97.76
MSFT,2021-07,98.12
MSFT,2021-08,108.75
MSFT,2021-09,101.2
MSFT,2021-10,98.63
MSFT,2021-11,98.01
MSFT,2021-12,100.18
MSFT,2022-01,106.74
MSFT,2022-02,106.61
MSFT,2022-03,99.29
MSFT,2022-04,103.57
MSFT,2022-05,107.55
MSFT,2022-06,97.6
MSFT,2022-07,97.58
MSFT,2022-08,90.12
MSFT,2022-09,87.18
MSFT,2022-10,83.33
MSFT,2022-11,86.77
MSFT,2022-12,87.28
MSFT,2023-01,81.84
MSFT,2023-02,85.53
MSFT,2023-03,79.61
MSFT,2023-04,80.93
MSFT,2023-05,77.71
MSFT,2023-06,76.3
MSFT,2023-07,78.25
MSFT,2023-08,80.31
MSFT,2023-09,85.87
MSFT,2023-10,85.51
MSFT,2023-11,86.83
MSFT,2023-12,84.95
MSFT,2024-01,85.73
MSFT,2024-02,87.64
MSFT,2024-03,87.21
MSFT,2024-04,79.68
MSFT,2024-05,81.02
MSFT,2024-06,82.51
