ticker,companyName,currentPrice,costBasis,changeDaily,quantity,peRatio,totalReturn,tradingVolume
AAPL,Apple Inc.,322.43,368.44,-0.21,418,17.1,-19232.18,25166852
MSFT,Microsoft Corp.,86.59,75.88,3.03,232,31.38,2484.72,34600864
GOOGL,Alphabet Inc.,204.22,177.21,-0.53,199,14.3,5374.99,8030718
AMZN,Amazon.com Inc.,496.3,590.45,-1.67,206,43.03,-19394.9,46891384
NVDA,NVIDIA Corp.,57.17,67.86,0.76,325,28.56,-3474.25,20460446
TSLA,Tesla Inc.,106.36,114.13,4.25,496,41.17,-3853.92,19398660
META,Meta Platforms,294.84,219.32,-1.81,195,29.71,14726.4,19693104
JPM,JPMorgan Chase,250.83,259.2,-4.93,461,34.33,-3858.57,33566482
V,Visa Inc.,466.99,517.98,4.38,394,12.14,-20090.06,15251963
WMT,Walmart Inc.,237.65,175.32,-1.19,279,42.42,17390.07,49533223
JNJ,Johnson & Johnson,103.45,96.09,-3.42,67,23.14,493.12,46926717
PG,Procter & Gamble,449.46,341.23,-1.89,242,15.12,26191.66,8359893
DIS,Walt Disney Co.,473.3,458.12,0.27,153,29.15,2322.54,47065850
NFLX,Netflix Inc.,415.86,413.02,-3.58,348,15.99,988.32,7205246
HD,Home Depot,378.28,374.03,-0.11,186,22.74,790.5,43556275
